ReactionName;Reaction;ReferenceValue;Unit
111;-1 W4-11_so2 + 1 W4-11_s + 2 W4-11_o;260.621;kcal/mol
112;-1 W4-11_no + 1 W4-11_n + 1 W4-11_o;152.745;kcal/mol
113;-1 W4-11_so + 1 W4-11_s + 1 W4-11_o;126.465;kcal/mol
114;-1 W4-11_n2o + 2 W4-11_n + 1 W4-11_o;270.849;kcal/mol
115;-1 W4-11_c-hooo + 1 W4-11_h + 3 W4-11_o;233.089;kcal/mol
116;-1 W4-11_s2 + 2 W4-11_s;104.251;kcal/mol
117;-1 W4-11_p4 + 4 W4-11_p;290.578;kcal/mol
118;-1 W4-11_cl2 + 2 W4-11_cl;59.750;kcal/mol
119;-1 W4-11_o2 + 2 W4-11_o;120.824;kcal/mol
120;-1 W4-11_f2 + 2 W4-11_f;39.042;kcal/mol
121;-1 W4-11_t-hooo + 1 W4-11_h + 3 W4-11_o;233.297;kcal/mol
122;-1 W4-11_s2o + 2 W4-11_s + 1 W4-11_o;208.781;kcal/mol
123;-1 W4-11_p2 + 2 W4-11_p;117.593;kcal/mol
124;-1 W4-11_clf + 1 W4-11_cl + 1 W4-11_f;62.800;kcal/mol
125;-1 W4-11_no2 + 1 W4-11_n + 2 W4-11_o;227.882;kcal/mol
126;-1 W4-11_clo + 1 W4-11_cl + 1 W4-11_o;65.447;kcal/mol
127;-1 W4-11_s3 + 3 W4-11_s;168.364;kcal/mol
128;-1 W4-11_cl2o + 2 W4-11_cl + 1 W4-11_o;101.457;kcal/mol
129;-1 W4-11_s4-c2v + 4 W4-11_s;234.348;kcal/mol
130;-1 W4-11_of + 1 W4-11_o + 1 W4-11_f;53.075;kcal/mol
131;-1 W4-11_c2 + 2 W4-11_c;147.023;kcal/mol
132;-1 W4-11_oclo + 2 W4-11_o + 1 W4-11_cl;128.120;kcal/mol
133;-1 W4-11_f2o + 2 W4-11_f + 1 W4-11_o;93.780;kcal/mol
134;-1 W4-11_b2 + 2 W4-11_b;67.459;kcal/mol
135;-1 W4-11_fo2 + 1 W4-11_f + 2 W4-11_o;134.721;kcal/mol
136;-1 W4-11_cloo + 1 W4-11_cl + 2 W4-11_o;126.385;kcal/mol
137;-1 W4-11_foof + 2 W4-11_f + 2 W4-11_o;152.369;kcal/mol
138;-1 W4-11_o3 + 3 W4-11_o;147.428;kcal/mol
139;-1 W4-11_bn + 1 W4-11_b + 1 W4-11_n;105.239;kcal/mol
140;-1 W4-11_be2 + 2 W4-11_be;2.669;kcal/mol
