ReactionName;Reaction;ReferenceValue;Unit
34;-2 MB16-43_34 + -10 MB16-43_H2 + 2 MB16-43_BH3 + 2 MB16-43_CH4 + 1 MB16-43_N2 + 2 MB16-43_O2 + 1 MB16-43_F2 + 2 MB16-43_MgH2 + 2 MB16-43_AlH3 + 2 MB16-43_SiH4 + 1 MB16-43_P2;538.2642;kcalmol
35;-2 MB16-43_35 + -20 MB16-43_H2 + 2 MB16-43_LiH + 4 MB16-43_BH3 + 4 MB16-43_CH4 + 1 MB16-43_O2 + 4 MB16-43_AlH3 + 2 MB16-43_SiH4 + 1 MB16-43_P2 + 1 MB16-43_Cl2;228.1748;kcalmol
36;-2 MB16-43_36 + 3 MB16-43_H2 + 2 MB16-43_LiH + 2 MB16-43_CH4 + 1 MB16-43_N2 + 2 MB16-43_O2 + 1 MB16-43_F2 + 1 MB16-43_P2 + 1 MB16-43_Cl2;552.8500;kcalmol
37;-2 MB16-43_37 + -19 MB16-43_H2 + 8 MB16-43_BH3 + 2 MB16-43_CH4 + 2 MB16-43_O2 + 1 MB16-43_F2 + 2 MB16-43_AlH3 + 2 MB16-43_SiH4 + 2 MB16-43_S2;629.7842;kcalmol
38;-2 MB16-43_38 + -12 MB16-43_H2 + 2 MB16-43_BH3 + 2 MB16-43_CH4 + 2 MB16-43_N2 + 1 MB16-43_F2 + 2 MB16-43_AlH3 + 4 MB16-43_SiH4 + 1 MB16-43_P2 + 1 MB16-43_S2;98.1943;kcalmol
39;-2 MB16-43_39 + -5 MB16-43_H2 + 2 MB16-43_LiH + 2 MB16-43_BH3 + 4 MB16-43_CH4 + 2 MB16-43_F2 + 2 MB16-43_NaH + 1 MB16-43_Cl2;436.4044;kcalmol
40;-2 MB16-43_40 + -26 MB16-43_H2 + 6 MB16-43_BH3 + 6 MB16-43_CH4 + 1 MB16-43_N2 + 2 MB16-43_AlH3 + 4 MB16-43_SiH4;-362.9806;kcalmol
41;-2 MB16-43_41 + -16 MB16-43_H2 + 4 MB16-43_BH3 + 6 MB16-43_CH4 + 1 MB16-43_F2 + 2 MB16-43_NaH + 2 MB16-43_AlH3 + 2 MB16-43_S2;160.2909;kcalmol
42;-2 MB16-43_42 + -11 MB16-43_H2 + 4 MB16-43_BH3 + 2 MB16-43_CH4 + 1 MB16-43_N2 + 2 MB16-43_O2 + 2 MB16-43_F2 + 4 MB16-43_AlH3 + 1 MB16-43_P2;754.6458;kcalmol
43;-2 MB16-43_43 + -7 MB16-43_H2 + 2 MB16-43_BH3 + 3 MB16-43_N2 + 1 MB16-43_O2 + 1 MB16-43_F2 + 2 MB16-43_AlH3 + 4 MB16-43_SiH4;421.9683;kcalmol
